"순번","쉼터명칭","사용여부","도로명주소","지번주소","시설유형","시설면적","이용가능인원","운영시작일","운영종료일","평일개방여부","평일 개방시간","평일 종료시간","토요일개방여부","토요일 개방시간","토요일 종료시간","일요일 개방여부","일요일 개방시간","일요일 종료시간","공휴일 개방여부","공휴일 개방시간","공휴일 종료시간","위도","경도","비고","X좌표","Y좌표"
"11","무악동주민센터","Y","서울특별시 종로구 통일로14길 36","서울특별시 종로구 무악동 60-2","주민센터","400.00","40","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","126.95822780","37.57600290","한파특보 발효 시 연장 운영(평일 09:00~21:00, 주말 및 휴일 10:00~18:00)","196310.021651","552940.334822"
"12","무악제2경로당","Y","서울특별시 종로구 통일로 246-11 ","서울특별시 종로구 무악동 83","노인시설","242.00","50","2024-11-15","2025-03-15","Y","10:00:00","17:00:00","N","","","N","","","N","","","126.95832830","37.57573500","","196318.886206","552910.597068"
"13","교남동주민센터","Y","서울특별시 종로구 송월길 154","서울특별시 종로구 행촌동 211-2","주민센터","400.00","40","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","126.96196300","37.57191600","한파특보 발효 시 연장 운영(평일 09:00~21:00, 주말 및 휴일 10:00~18:00)","196639.789708","552486.596045"
"14","행촌경로당","Y","서울특별시 종로구 인왕산로1길 58","서울특별시 종로구 행촌동 210-33","노인시설","200.00","50","2024-11-15","2025-03-15","Y","10:00:00","17:00:00","N","","","N","","","N","","","126.96300880","37.57538640","","196732.327918","552871.733410"
"15","가회동주민센터","Y","서울특별시 종로구 북촌로 35","서울특별시 종로구 가회동 156","주민센터","60.00","50","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","126.98480440","37.58005660","한파특보 발효 시 연장 운영(평일 09:00~21:00, 주말 및 휴일 10:00~18:00)","198657.758169","553389.537216"
"16","북촌경로당","Y","서울특별시 종로구 북촌로 20-27 ","서울특별시 종로구 재동 54-1","노인시설","103.10","30","2024-11-15","2025-03-15","Y","10:00:00","17:00:00","N","","","N","","","N","","","126.98587280","37.57891150","","198752.111849","553262.429517"
"17","구청사","Y","서울특별시 종로구 종로1길 36","서울특별시 종로구 수송동 146-12","기타","82.60","10","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","Y","09:00:00","18:00:00","Y","09:00:00","18:00:00","Y","09:00:00","18:00:00","126.97898670","37.57350500","한파특보 시 응급대피소로 운영(24시간)","198143.712548","552662.484085"
"18","종로1234가동주민센터","Y","서울특별시 종로구 삼일대로30길 47","서울특별시 종로구 익선동 99","주민센터","400.00","40","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","126.99026110","37.57443160","한파특보 발효 시 연장 운영(평일 09:00~21:00, 주말 및 휴일 10:00~18:00)","199139.688969","552765.162982"
"19","운니경로당","Y","서울특별시 종로구 삼일대로32길 51","서울특별시 종로구 운니동 60","노인시설","200.00","50","2024-11-15","2025-03-15","Y","10:00:00","17:00:00","N","","","N","","","N","","","126.98984160","37.57563510","","199102.645788","552898.741507"
"20","종로56가동주민센터","Y","서울특별시 종로구 종로35가길 19","서울특별시 종로구 효제동 173-2","주민센터","80.00","50","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.00504270","37.57203250","한파특보 발효 시 연장 운영(평일 09:00~21:00, 주말 및 휴일 10:00~18:00)","200445.474294","552498.858040"
"21","종로56가경로당","Y","서울특별시 종로구 종로35가길 19","서울특별시 종로구 효제동 173-2","노인시설","105.60","30","2024-11-15","2025-03-15","Y","10:00:00","17:00:00","N","","","N","","","N","","","127.00504020","37.57203680","","200445.253418","552499.335278"
"22","이화동주민센터","Y","서울특별시 종로구 이화장길 33","서울특별시 종로구 이화동 149-1","주민센터","400.00","50","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.00435690","37.57699440","한파특보 발효 시 연장 운영(평일 09:00~21:00, 주말 및 휴일 10:00~18:00)","200384.864890","553049.568554"
"23","이화경로당","Y","서울특별시 종로구 이화장1나길 15","서울특별시 종로구 이화동 9-264","노인시설","174.90","30","2024-11-15","2025-03-15","Y","10:00:00","17:00:00","N","","","N","","","N","","","127.00675030","37.57773530","","200596.278942","553131.812427"
"24","혜화동주민센터","Y","서울특별시 종로구 혜화로 12","서울특별시 종로구 혜화동 74-30","주민센터","400.00","30","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.00060800","37.58690730","한파특보 발효 시 연장 운영(평일 09:00~21:00, 주말 및 휴일 10:00~18:00)","200053.700298","554149.778508"
"25","유림경로당","Y","서울특별시 종로구 성균관로5길 25-13 ","서울특별시 종로구 명륜3가 53-2","노인시설","178.32","44","2024-11-15","2025-03-15","Y","10:00:00","17:00:00","N","","","N","","","N","","","126.99692800","37.58447360","","199728.663344","553879.669690"
"26","창신1동주민센터","Y","서울특별시 종로구 지봉로 8-6 ","서울특별시 종로구 창신동 401-3","주민센터","400.00","30","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.01637400","37.57072220","한파특보 발효 시 연장 운영(평일 09:00~21:00, 주말 및 휴일 10:00~18:00)","201446.511572","552353.544039"
"27","당고개경로당","Y","서울특별시 종로구 종로53길 29","서울특별시 종로구 창신동 197-17","노인시설","100.00","20","2024-11-15","2025-03-15","Y","10:00:00","17:00:00","N","","","N","","","N","","","127.01322780","37.57367930","","201168.523832","552681.704051"
"28","창신2동주민센터","Y","서울특별시 종로구 창신길 62","서울특별시 종로구 창신동 583-3","주민센터","120.00","30","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.01088350","37.57443190","한파특보 발효 시 연장 운영(평일 09:00~21:00, 주말 및 휴일 10:00~18:00)","200961.422242","552765.207375"
"29","창인경로당","Y","서울특별시 종로구 낙산성곽동길 70-3 ","서울특별시 종로구 창신동 617","노인시설","120.00","30","2024-11-15","2025-03-15","Y","10:00:00","17:00:00","N","","","N","","","N","","","127.00893490","37.57868550","","200789.242704","553237.289818"
"30","창신3동주민센터","Y","서울특별시 종로구 지봉로 87","서울특별시 종로구 창신동 23-816","주민센터","400.00","50","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.01468420","37.57793300","한파특보 발효 시 연장 운영(평일 09:00~21:00, 주말 및 휴일 10:00~18:00)","201297.106220","553153.834799"
"31","온고회경로당","Y","서울특별시 종로구 지봉로13길 14","서울특별시 종로구 창신동 산 6-25","노인시설","280.00","50","2024-11-15","2025-03-15","Y","10:00:00","17:00:00","N","","","N","","","N","","","127.01469400","37.57897800","","201297.953748","553269.817933"
"32","숭인1동주민센터","Y","서울특별시 종로구 지봉로 86","서울특별시 종로구 숭인동 55-2","주민센터","120.00","30","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.01563640","37.57783520","한파특보 발효 시 연장 운영(평일 09:00~21:00, 주말 및 휴일 10:00~18:00)","201381.219149","553142.993695"
"33","숭인상록경로당","Y","서울특별시 종로구 지봉로 86","서울특별시 종로구 숭인동 55-2","노인시설","244.00","31","2024-11-15","2025-03-15","Y","10:00:00","17:00:00","N","","","N","","","N","","","127.01558140","37.57785440","","201376.360449","553145.123867"
"34","흥인경로당","Y","서울특별시 종로구 숭인동길 78-8 ","서울특별시 종로구 숭인동 382","노인시설","43.90","15","2024-11-15","2025-03-15","Y","10:00:00","17:00:00","N","","","N","","","N","","","127.02220110","37.57825400","","201961.091607","553189.592451"
"35","숭인2동주민센터","Y","서울특별시 종로구 종로65길 10","서울특별시 종로구 숭인동 178-167","주민센터","256.56","43","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.01998960","37.57486980","한파특보 발효 시 연장 운영(평일 09:00~21:00, 주말 및 휴일 10:00~18:00)","201765.822905","552813.941371"
"36","소공동 주민센터","Y","서울특별시 중구 남대문로1길 31-5 ","서울특별시 중구 북창동 20-5","주민센터","136.43","41","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","126.97701300","37.56240040","한파특보시 주말 확대운영 09시~18시","197969.056989","551430.044016"
"37","회현체육센터","Y","서울특별시 중구 퇴계로12길 78","서울특별시 중구 회현동1가 115","체육시설","80.00","10","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","126.98162950","37.55614790","","198376.797483","550736.000836"
"38","회현동 주민센터","Y","서울특별시 중구 퇴계로8길 46","서울특별시 중구 회현동1가 164","주민센터","885.18","200","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","126.97940860","37.55729990","한파특보시 주말 확대운영 09시~18시","198180.588563","550863.899805"
"39","회현경로당","Y","서울특별시 중구 퇴계로12길 89","서울특별시 중구 회현동1가 147-19","노인시설","286.00","40","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","126.98197010","37.55582750","","198406.885803","550700.434424"
"40","명동 주민센터","Y","서울특별시 중구 퇴계로20길 3","서울특별시 중구 남산동2가 9-6","주민센터","189.09","20","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","126.98580250","37.56005440","한파특보시 주말 확대운영 09시~18시","198745.585879","551169.512098"
"41","명동경로당","Y","서울특별시 중구 퇴계로20길 25-26 ","서울특별시 중구 남산동2가 18-5","노인시설","655.10","80","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","126.98637260","37.55899500","","198795.939776","551051.923787"
"42","필동주민센터","Y","서울특별시 중구 퇴계로36길 42","서울특별시 중구 필동2가 78-2","주민센터","943.68","30","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","126.99558070","37.56015460","한파특보시 주말 확대운영 09시~18시","199609.535137","551180.547551"
"43","필동경로당","Y","서울특별시 중구 필동로 11","서울특별시 중구 필동2가 19-22","노인시설","201.00","50","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","126.99623940","37.56054510","","199667.735954","551223.885900"
"44","장충경로당","Y","서울특별시 중구 동호로25길 38","서울특별시 중구 장충동2가 193-114","노인시설","236.46","40","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.00157230","37.55944760","","200138.921029","551102.070902"
"45","공원장충경로당","Y","서울특별시 중구 동호로 257-8 ","서울특별시 중구 장충동2가 197","노인시설","425.76","50","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.00388700","37.55851100","","200343.441328","550998.125342"
"46","장충동 주민센터","Y","서울특별시 중구 장충단로8길 22","서울특별시 중구 장충동1가 37-14","주민센터","60.00","18","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.00787040","37.56191140","한파특보시 주말 확대운영 09시~18시","200695.368611","551375.551533"
"47","중구 구민회관","Y","서울특별시 중구 을지로39길 40","서울특별시 중구 을지로6가 18-14","기타","105.00","11","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.00610910","37.56860230","","200539.705281","552118.151352"
"48","중구청 ","Y","서울특별시 중구 창경궁로 17","서울특별시 중구 예관동 120-1","기타","50.00","15","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","Y","09:00:00","18:00:00","Y","09:00:00","18:00:00","Y","09:00:00","18:00:00","126.99806970","37.56378210","","199829.457656","551583.149834"
"49","묵정경로당","Y","서울특별시 중구 퇴계로45길 32-12 ","서울특별시 중구 충무로5가 21","노인시설","195.17","50","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","126.99973400","37.56388000","","199976.498884","551594.013864"
"50","광희경로당","Y","서울특별시 중구 퇴계로 303-9 ","서울특별시 중구 광희동1가 252","노인시설","254.12","30","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.00503230","37.56444850","","200444.600629","551657.122552"
"51","광희동 주민센터","Y","서울특별시 중구 퇴계로 303-9 ","서울특별시 중구 광희동1가 252","주민센터","225.06","30","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.00498600","37.56445120","한파특보시 주말 확대운영 09시~18시","200440.510037","551657.422002"
"52","을지경로당","Y","서울특별시 중구 을지로 186-14 ","서울특별시 중구 을지로4가 178-2","노인시설","204.65","45","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","126.99878730","37.56605230","","199892.860993","551835.114321"
"53","을지로동 주민센터","Y","서울특별시 중구 충무로9길 20","서울특별시 중구 을지로3가 95-7","주민센터","30.00","10","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","126.99137000","37.56701840","","199237.570967","551942.374425"
"54","충무스포츠센터","Y","서울특별시 중구 퇴계로 387","서울특별시 중구 흥인동 131","체육시설","130.00","27","2024-11-15","2025-03-15","Y","06:00:00","22:00:00","Y","06:00:00","20:00:00","Y","09:30:00","18:00:00","N","","","127.01478740","37.56583730","매월 둘째주 넷째주 일요일, 명절(신정?구정?추석) 연휴, (대체)공휴일, 근로자의 날","201306.433501","551811.353933"
"55","충무아트센터","Y","서울특별시 중구 퇴계로 387","서울특별시 중구 흥인동 131","기타","130.00","27","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.01478740","37.56583730","","201306.433501","551811.353933"
"56","신당누리도서관","Y","서울특별시 중구 다산로33길 3","서울특별시 중구 신당동 300-6","문화시설","468.00","117","2024-11-15","2025-03-15","Y","09:00:00","22:00:00","Y","09:00:00","18:00:00","N","","","N","","","127.01457630","37.56209890","평일 9:00~22:00 토요일 9:00~18:00","201287.847644","551396.432572"
"57","신당동 주민센터","Y","서울특별시 중구 다산로33길 3","서울특별시 중구 신당동 300-6","주민센터","550.00","50","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.01455150","37.56210500","한파특보시 주말 확대운영 09시~18시","201285.656405","551397.109261"
"58","신당경로당","Y","서울특별시 중구 다산로29길 10","서울특별시 중구 신당동 304-738","노인시설","662.90","37","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.01349470","37.56102950","","201192.302985","551277.727523"
"59","신일경로당","Y","서울특별시 중구 청구로 121","서울특별시 중구 신당동 393-9","노인시설","577.70","50","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.01019670","37.56260780","","200900.894379","551452.863477"
"60","가온도서관","Y","서울특별시 중구 동호로14길 18","서울특별시 중구 신당동 425-11","문화시설","966.00","241","2024-11-15","2025-03-15","Y","09:00:00","22:00:00","Y","09:00:00","22:00:00","Y","09:00:00","22:00:00","N","","","127.01084650","37.55636980","평일 9:00~22:00(월요일 휴관) 토요일 9:00~22:00 일요일 9:00~22:00(공휴일 휴관)","200958.385120","550760.525774"
"61","다산성곽도서관","Y","서울특별시 중구 동호로17길 173","서울특별시 중구 신당동 432-612","문화시설","975.00","243","2024-11-15","2025-03-15","Y","09:00:00","22:00:00","Y","09:00:00","22:00:00","Y","09:00:00","22:00:00","N","","","127.00432430","37.55173190","평일 9:00~22:00(월요일 휴관) 토요일 9:00~22:00 일요일 9:00~22:00(공휴일 휴관)","200382.114194","550245.727768"
"62","신당종합사회복지관","Y","서울특별시 중구 동호로11길 22","서울특별시 중구 신당동 361-18","복지회관","97.26","50","2024-11-15","2025-03-15","Y","09:00:00","21:00:00","Y","10:00:00","18:00:00","N","","","N","","","127.00955470","37.55445220","평일 9:00~21:00 토요일 10:00~18:00","200844.264689","550547.682644"
"63","다산경로당","Y","서울특별시 중구 동호로12길 97","서울특별시 중구 신당동 386-66","노인시설","452.00","30","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.01206080","37.55954490","","201065.634150","551112.937258"
"64","장수경로당","Y","서울특별시 중구 동호로11다길 18","서울특별시 중구 신당동 353-47","노인시설","444.00","30","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.00705700","37.55195850","","200623.585715","550270.892269"
"65","충현경로당","Y","서울특별시 중구 동호로17나길 5-4 ","서울특별시 중구 신당동 828-5","노인시설","284.00","30","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.00567890","37.55447320","","200501.794237","550549.985643"
"66","다산동 주민센터","Y","서울특별시 중구 동호로15길 50","서울특별시 중구 신당동 432-24","주민센터","85.00","30","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.00830840","37.55426530","한파특보시 주말 확대운영 09시~18시","200734.141967","550526.928512"
"67","약수동 커뮤니티센터(악수터)","Y","서울특별시 중구 다산로 94","서울특별시 중구 신당동 366-14","기타","45.00","11","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.00907920","37.55260380","","200802.268756","550342.528176"
"68","중구시설관리공단 , 2층 출입구 휴게공간","Y","서울특별시 중구 동호로8다길 22","서울특별시 중구 신당동 349-234","기타","60.00","10","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.01336630","37.55220000","","201181.097755","550297.756436"
"69","남산타운어린이도서관","Y","서울특별시 중구 다산로 32","서울특별시 중구 신당동 844-1","기타","274.00","68","2024-11-15","2025-03-15","Y","09:00:00","22:00:00","Y","09:00:00","18:00:00","Y","09:00:00","18:00:00","N","","","127.01190000","37.54960000","평일 9:00~22:00(1,3,5주 월요일 휴관) 토요일 9:00~18:00 일요일 9:00~18:00(2,4주 일요일 및 공휴일 휴관)","201051.566366","550009.170234"
"70","약수노인종합복지관","Y","서울특별시 중구 다산로6길 11","서울특별시 중구 신당동 366-18","복지회관","76.00","20","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.00921080","37.55247990","","200813.898723","550328.777890"
"71","약수경로당","Y","서울특별시 중구 다산로10길 10-12 ","서울특별시 중구 신당동 368-80","노인시설","177.00","70","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.01014470","37.55315160","","200896.413371","550403.337047"
"72","동호경로당","Y","서울특별시 중구 동호로8길 42-22 ","서울특별시 중구 신당동 349-120","노인시설","144.00","60","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.01302500","37.55241190","","201150.935913","550321.270565"
"73","약수동주민센터","Y","서울특별시 중구 다산로 92","서울특별시 중구 신당동 366-15","주민센터","1,317.00","200","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.00895830","37.55247560","한파특보시 주말 확대운영 09시~18시","200791.586979","550328.298486"
"74","청송경로당","Y","서울특별시 중구 청구로1길 23","서울특별시 중구 신당동 843-1","노인시설","83.85","30","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.01808760","37.55953660","","201598.133327","551112.101457"
"75","삼성경로당","Y","서울특별시 중구 청구로1길 23","서울특별시 중구 신당동 843","노인시설","240.00","40","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.01788680","37.55814490","","201580.420999","550957.635858"
"76","대양경로당","Y","서울특별시 중구 동호로10길 30","서울특별시 중구 신당동 842","노인시설","96.36","30","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.01475450","37.55485320","","201303.718236","550592.248267"
"77","청구동주민센터","Y","서울특별시 중구 청구로3길 55","서울특별시 중구 신당동 333-17","주민센터","50.00","20","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.01467910","37.55710220","한파특보시 주말 확대운영 09시~18시","201297.016857","550841.859444"
"78","청구경로당","Y","서울특별시 중구 청구로3길 69","서울특별시 중구 신당동 333-36","노인시설","130.64","50","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.01437310","37.55653600","","201269.988899","550779.013799"
"79","유락종합사회복지관","Y","서울특별시 중구 퇴계로 460","서울특별시 중구 신당동 160-2","복지회관","76.00","30","2024-11-15","2025-03-15","Y","09:00:00","21:00:00","Y","10:00:00","18:00:00","N","","","N","","","127.02282700","37.56513150","평일 9:00~21:00 토요일 10:00~18:00","202016.733098","551733.160554"
"80","신당5동주민센터","Y","서울특별시 중구 다산로44길 85","서울특별시 중구 신당동 150-7","주민센터","251.30","30","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.02186670","37.56511720","한파특보시 주말 확대운영 09시~18시","201931.892322","551731.553248"
"81","유락경로당","Y","서울특별시 중구 퇴계로90길 42","서울특별시 중구 신당동 155-10","노인시설","71.26","40","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.02163950","37.56344450","","201911.862267","551545.898556"
"82","신당5동경로당","Y","서울특별시 중구 다산로42길 53","서울특별시 중구 신당동 132-10","노인시설","71.14","40","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.01921470","37.56436030","","201697.609010","551647.495026"
"83","어울림도서관","Y","서울특별시 중구 다산로38길 66-35 ","서울특별시 중구 신당동 52-164","문화시설","299.00","74","2024-11-15","2025-03-15","Y","09:00:00","22:00:00","Y","09:00:00","22:00:00","Y","09:00:00","22:00:00","N","","","127.01896620","37.56170670","평일 9:00~22:00(월요일 휴관) 토요일 9:00~22:00 일요일 9:00~22:00(공휴일 휴관)","201675.713595","551352.972210"
"84","동화동주민센터","Y","서울특별시 중구 다산로36길 100","서울특별시 중구 신당동 850","주민센터","100.00","50","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.01939900","37.55996480","한파특보시 주말 확대운영 09시~18시","201713.992515","551159.649695"
"85","동화경로당","Y","서울특별시 중구 청구로 64","서울특별시 중구 신당동 852","노인시설","105.00","30","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.01669120","37.56048920","","201474.735364","551217.805960"
"86","현대아파트경로당","Y","서울특별시 중구 다산로36길 109","서울특별시 중구 신당동 840","노인시설","102.00","40","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.02137580","37.55995430","","201888.652321","551158.522205"
"87","푸르지오경로당","Y","서울특별시 중구 다산로36길 110","서울특별시 중구 신당동 850","노인시설","119.00","50","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.01952650","37.55920140","","201725.275340","551074.923666"
"88","청구e편한세상경로당","Y","서울특별시 중구 청구로 64","서울특별시 중구 신당동 852","노인시설","128.00","50","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.01666110","37.56040110","","201472.077640","551208.027430"
"89","동화동구립경로당","Y","서울특별시 중구 퇴계로80길 52","서울특별시 중구 신당동 50-12","노인시설","138.00","70","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.01729880","37.56323670","","201528.363168","551522.755757"
"90","황학동주민센터","Y","서울특별시 중구 난계로11길 52","서울특별시 중구 황학동 1010","주민센터","330.00","30","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.02136680","37.56743780","한파특보시 주말 확대운영 09시~18시","201887.668298","551989.102509"
"91","SH황학롯데캐슬경로당","Y","서울특별시 중구 청계천로 400","서울특별시 중구 황학동 2545","노인시설","264.46","30","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.02121430","37.57102520","","201874.105668","552387.259039"
"92","황중경로당","Y","서울특별시 중구 난계로11길 37","서울특별시 중구 황학동 2525","노인시설","257.04","35","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.02177580","37.56666370","","201923.821663","551903.194759"
"93","손기정문화체육센터","Y","서울특별시 중구 손기정로 101","서울특별시 중구 만리동2가 6-1","체육시설","1,271.00","73","2024-11-15","2025-03-15","Y","06:00:00","21:50:00","Y","09:00:00","17:50:00","Y","09:00:00","17:50:00","N","","","126.96455900","37.55592330","매월 2,4째주 일요일 및 명절(신정?구정?추석) 연휴, (대체)공휴일, 근로자의 날 휴관)","196868.452477","550711.504648"
