"피난처 ID","시도명","시군구명","시설명","상세주소","시설면적","경도","위도","구분","구분명","관리부서"
"45","서울특별시","노원구","하계중학교 운동장","서울특별시 노원구 노원로 261-8 (하계동)","4890.0","127.0715","37.6407","1","지진실내구호소","02-3399-0204"
"46","서울특별시","노원구","혜성여자고등학교 운동장","서울특별시 노원구 하계동 산16-38","8880.0","127.074","37.6412","1","지진실내구호소","02-972-4040"
"47","서울특별시","노원구","갈울근린공원","서울특별시 노원구 상계동 644-0","3200.0","127.061","37.6668","1","지진실내구호소","02-2116-3944"
"48","서울특별시","노원구","상계근린공원","서울특별시 노원구 상계동 620-0","4860.0","127.0508","37.6697","1","지진실내구호소","02-2116-3944"
"49","서울특별시","노원구","온수근린공원","서울특별시 노원구 상계동 686-0","550.0","127.0637","37.6609","1","지진실내구호소","02-2116-3944"
"50","서울특별시","노원구","계상초등학교 운동장","서울특별시 노원구 한글비석로41가길 24(상계동)","4270.0","127.0676","37.663","1","지진실내구호소","02-939-0871"
"51","서울특별시","노원구","노원고등학교 운동장","서울특별시 노원구 노원로 586(상계동)","2930.0","127.0533","37.6622","1","지진실내구호소","02-937-0079"
"52","서울특별시","노원구","노원중학교 운동장","서울특별시 노원구 동일로213길 26(상계동)","2540.0","127.0598","37.649","1","지진실내구호소","02-3391-6921"
"53","서울특별시","노원구","노원초등학교 운동장","서울특별시 노원구 동일로230나길 32(상계동)","4010.0","127.0582","37.6728","1","지진실내구호소","02-939-1746"
"54","서울특별시","노원구","노일중학교 운동장","서울특별시 노원구 동일로231길 24(상계동)","4580.0","127.0539","37.6728","1","지진실내구호소","02-3391-0094"
"55","서울특별시","노원구","노일초등학교 운동장","서울특별시 노원구 동일로 1625(상계동)","2360.0","127.0547","37.673","1","지진실내구호소","02-951-4393"
"56","서울특별시","노원구","당현초등학교 운동장","서울특별시 노원구 동일로213길 52(상계동)","3580.0","127.0583","37.6485","1","지진실내구호소","02-932-0604"
"57","서울특별시","노원구","덕암초등학교 운동장","서울특별시 노원구 상계동 1274-0","1790.0","127.0808","37.6663","1","지진실내구호소","02-3392-0059"
"58","서울특별시","노원구","동일초등학교 운동장","서울특별시 노원구 한글비석로 566(상계동)","2380.0","127.0546","37.6648","1","지진실내구호소","02-935-8225"
"59","서울특별시","노원구","상경중학교 운동장","서울특별시 노원구 동일로227길 61(상계동)","3530.0","127.0535","37.6664","1","지진실내구호소","02-938-7984"
"60","서울특별시","노원구","상경초등학교 운동장","서울특별시 노원구 수락산로 237(상계동)","2660.0","127.0517","37.6701","1","지진실내구호소","070-8650-7903"
"61","서울특별시","노원구","상계중학교 운동장","서울특별시 노원구 상계동 195-5","7190.0","127.0689","37.6518","1","지진실내구호소","02-936-6450"
"62","서울특별시","노원구","상계초등학교 운동장","서울특별시 노원구 상계동 402-1","1830.0","127.0659","37.659","1","지진실내구호소","02-936-6860"
"63","서울특별시","노원구","상곡초등학교 운동장","서울특별시 노원구 노원로38길 34(상계동)","2640.0","127.0623","37.6623","1","지진실내구호소","02-935-9205"
"64","서울특별시","노원구","상수초등학교 운동장","서울특별시 노원구 동일로216길 66(상계동)","2230.0","127.0648","37.6514","1","지진실내구호소","02-932-1441"
"65","서울특별시","노원구","상원중학교 운동장","서울특별시 노원구 수락산로 182(상계동)","2180.0","127.0594","37.6712","1","지진실내구호소","02-930-0761"
"66","서울특별시","노원구","상원초등학교 운동장","서울특별시 노원구 한글비석로54길 119(상계동)","3970.0","127.0602","37.6676","1","지진실내구호소","02-938-1157"
"67","서울특별시","노원구","상월초등학교 운동장","서울특별시 노원구 동일로221길 27(상계동)","4330.0","127.0572","37.6582","1","지진실내구호소","02-939-7369"
"68","서울특별시","노원구","상천초등학교 운동장","서울특별시 노원구 덕릉로 443(상계동)","3500.0","127.0578","37.6459","1","지진실내구호소","02-938-7134"
"69","서울특별시","노원구","수락중학교 운동장","서울특별시 노원구 동일로 1729(상계동)","4030.0","127.0545","37.6826","1","지진실내구호소","02-2092-1990"
"70","서울특별시","노원구","수락초등학교 운동장","서울특별시 노원구 동일로 1745(상계동)","4930.0","127.0545","37.6837","1","지진실내구호소","02-939-0077"
"71","서울특별시","노원구","신상계초등학교 운동장","서울특별시 노원구 상계로 267(상계동)","2560.0","127.0761","37.6677","1","지진실내구호소","02-937-5805"
"72","서울특별시","노원구","신상중학교 운동장","서울특별시 노원구 동일로216길 42(상계동)","4220.0","127.0635","37.6511","1","지진실내구호소","02-932-0594"
"73","서울특별시","노원구","온곡중학교 운동장","서울특별시 노원구 노원로 492(상계동)","7090.0","127.0646","37.66","1","지진실내구호소","02-934-8909"
"74","서울특별시","노원구","온곡초등학교 운동장","서울특별시 노원구 한글비석로52길 59(상계동)","1580.0","127.0661","37.6673","1","지진실내구호소","02-937-7135"
"75","서울특별시","노원구","용화여자고등학교 운동장","서울특별시 노원구 동일로 1461(상계동)","3370.0","127.0585","37.6587","1","지진실내구호소","02-950-3523"
"76","서울특별시","노원구","청원초등학교 운동장","서울특별시 노원구 한글비석로 506(상계동)","3140.0","127.0613","37.6657","1","지진실내구호소","02-3399-7888"
"77","서울특별시","노원구","불암고등학교 운동장","서울특별시 노원구 중계로 155(중계동)","3220.0","127.0801","37.6484","1","지진실내구호소","02-936-7500"
"78","서울특별시","노원구","불암초등학교 운동장","서울특별시 노원구 중계로 178(중계동)","2590.0","127.0801","37.651","1","지진실내구호소","02-932-5583"
"79","서울특별시","노원구","상계제일중학교 운동장","서울특별시 노원구 중계동 132-0","3470.0","127.0773","37.6611","1","지진실내구호소","02-930-3543"
"80","서울특별시","노원구","상명초등학교 운동장","서울특별시 노원구 덕릉로 541(중계동)","1700.0","127.0675","37.6482","1","지진실내구호소","02-3788-3300"
"81","서울특별시","노원구","서라벌고등학교운동장","서울특별시 노원구 한글비석로5길 18(중계동)","5010.0","127.0752","37.6451","1","지진실내구호소","02-2092-2200"
"82","서울특별시","노원구","수암초등학교 운동장","서울특별시 노원구 중계로12길 9(중계동)","2700.0","127.0819","37.6477","1","지진실내구호소","02-3392-4127"
"83","서울특별시","노원구","영신여자고등학교 운동장","서울특별시 노원구 중계로16나길 13(중계동)","2970.0","127.0829","37.652","1","지진실내구호소","02-930-8455"
"84","서울특별시","노원구","용동초등학교 운동장","서울특별시 노원구 한글비석로1길 81-11 (중계동)","3270.0","127.0694","37.6414","1","지진실내구호소","02-948-0865"
"85","서울특별시","노원구","원광초등학교 운동장","서울특별시 노원구 중계동 359-0","2280.0","127.0748","37.6537","1","지진실내구호소","02-951-3359"
"86","서울특별시","노원구","을지중학교 운동장","서울특별시 노원구 덕릉로 580(중계동)","2950.0","127.0721","37.6501","1","지진실내구호소","02-938-7084"
"87","서울특별시","노원구","을지초등학교 운동장","서울특별시 노원구 중계로 239(중계동)","2910.0","127.0725","37.6506","1","지진실내구호소","02-2092-2310"
"88","서울특별시","종로구","경기상업고등학교 운동장","서울특별시 종로구 자하문로 136(청운동)","10629.0","126.97","37.5881","1","지진실내구호소","02-2148-3007"
"89","서울특별시","종로구","경복고등학교 운동장","서울특별시 종로구 자하문로28가길 9(청운동)","11577.0","126.9706","37.587","1","지진실내구호소","02-2148-3007"
"90","서울특별시","종로구","청운중학교 운동장","서울특별시 종로구 창의문로 51(청운동)","4133.0","126.9709","37.5887","1","지진실내구호소","02-2148-3007"
"91","서울특별시","종로구","청운초등학교 운동장","서울특별시 종로구 자하문로 105(청운동)","1993.0","126.9696","37.5855","1","지진실내구호소","02-2148-3007"
"92","서울특별시","종로구","서울농학교 운동장","서울특별시 종로구 필운대로 103(신교동)","4144.0","126.9691","37.5844","1","지진실내구호소","02-2148-3007"
"93","서울특별시","종로구","매동초등학교 운동장","서울특별시 종로구 사직로9길 19(필운동)","2593.0","126.9668","37.5772","1","지진실내구호소","02-2148-3007"
"94","서울특별시","종로구","배화여자고등학교 운동장","서울특별시 종로구 필운대로1길 34(필운동)","2432.0","126.9677","37.5783","1","지진실내구호소","02-2148-3007"
"95","서울특별시","종로구","사직공원","서울특별시 종로구 사직로 89(사직동)","26523.0","126.9683","37.5758","1","지진실내구호소","02-2148-3007"
"96","서울특별시","종로구","내수1근린공원","서울특별시 종로구 내수동 71-2","2703.0","126.9705","37.5735","1","지진실내구호소","02-2148-3007"
"97","서울특별시","종로구","내수2근린공원","서울특별시 종로구 내수동 73-3","2310.0","126.9716","37.5723","1","지진실내구호소","02-2148-3007"
"98","서울특별시","성북구","길음중학교 운동장","서울특별시 성북구 길음로 144(길음동)","2062.0","127.0183","37.6136","1","지진실내구호소","02-910-8766"
"99","서울특별시","성북구","길음초등학교 운동장","서울특별시 성북구 길음동 635-7","3479.0","127.017","37.6131","1","지진실내구호소","070-5008-1501"
"100","서울특별시","성북구","미아초등학교 운동장","서울특별시 성북구 길음동 1168-0","4310.0","127.0219","37.6102","1","지진실내구호소","02-912-4014"
"101","서울특별시","성북구","종암 5-1 어린이 공원","서울특별시 성북구 종암동 134-3","1965.0","127.0366","37.5996","1","지진실내구호소","02-2241-3682"
"102","서울특별시","성북구","서울대학교 사범대학 부설 고등학교 운동장","서울특별시 성북구 월곡로 6(종암동)","12736.0","127.0378","37.5927","1","지진실내구호소","02-913-7306"
"103","서울특별시","성북구","서울대학교 사범대학 부설 중학교 운동장","서울특별시 성북구 월곡로 36(종암동)","18452.0","127.0389","37.5958","1","지진실내구호소","02-943-5812"
"104","서울특별시","성북구","서울일신초등학교 운동장","서울특별시 성북구 월곡로 74(종암동)","2360.0","127.0401","37.5991","1","지진실내구호소","02-909-2893"
"105","서울특별시","성북구","숭례초등학교 운동장","서울특별시 성북구 종암동 22-1","3968.0","127.035","37.5948","1","지진실내구호소","02-927-5611"
"106","서울특별시","성북구","종암중학교 운동장","서울특별시 성북구 종암동 32-3","3676.0","127.0323","37.5928","1","지진실내구호소","02-6749-2032"
"107","서울특별시","성북구","월곡인조잔디구장","서울특별시 성북구 화랑로13길 144(하월곡동)","17309.0","127.0423","37.6086","1","지진실내구호소","02-2241-0654"
"108","서울특별시","성북구","오동공원 놀이마당","서울특별시 성북구 하월곡동 228-4","10034.0","127.0393","37.6092","1","지진실내구호소","02-2241-3664"
"109","서울특별시","성북구","도시공단 주차장","서울특별시 성북구 하월곡동 226-4","1453.0","127.0411","37.6003","1","지진실내구호소","02-914-2008"
"110","서울특별시","성북구","서울도시과학기술고등학교 운동장","서울특별시 성북구 하월곡동 90-1","6398.0","127.0316","37.6071","1","지진실내구호소","02-940-2681"
"111","서울특별시","성북구","숭곡중학교 운동장","서울특별시 성북구 종암로 208(하월곡동)","2789.0","127.0316","37.608","1","지진실내구호소","070-4323-2507"
"112","서울특별시","성북구","숭곡초등학교 운동장","서울특별시 성북구 하월곡동 84-86","4106.0","127.0323","37.6084","1","지진실내구호소","02-912-1656"
"113","서울특별시","성북구","숭인초등학교 운동장","서울특별시 성북구 하월곡동 222-4","2042.0","127.0388","37.6089","1","지진실내구호소","070-7126-8094"
"114","서울특별시","성북구","월곡중학교 운동장","서울특별시 성북구 상월곡동 35-1","2308.0","127.0481","37.6065","1","지진실내구호소","02-6496-6600"
"115","서울특별시","성북구","상길례 근린공원","서울특별시 성북구 돌곶이로 220(장위동, 꿈의숲코오롱하늘채아파트)","4281.0","127.0453","37.6196","1","지진실내구호소","02-2241-3682"
"116","서울특별시","성북구","광운초등학교 운동장","서울특별시 성북구 장위동 128-0","4464.0","127.0546","37.6188","1","지진실내구호소","02-915-7545"
"117","서울특별시","성북구","남대문중학교 운동장","서울특별시 성북구 한천로 660-30 (장위동)","2734.0","127.0556","37.6183","1","지진실내구호소","02-919-6540"
"118","서울특별시","성북구","월곡초등학교 운동장","서울특별시 성북구 장위동 246-194","4327.0","127.046","37.6097","1","지진실내구호소","02-915-2787"
"119","서울특별시","성북구","장곡초등학교 운동장","서울특별시 성북구 장위동 235-0","2084.0","127.0481","37.6165","1","지진실내구호소","02-918-7066"
"120","서울특별시","성북구","장월초등학교 운동장","서울특별시 성북구 장위동 316-0","1452.0","127.0468","37.622","1","지진실내구호소","02-918-7823"
"121","서울특별시","성북구","장위중학교 운동장","서울특별시 성북구 장위동 231-623","2911.0","127.0409","37.6116","1","지진실내구호소","02-941-1675"
"122","서울특별시","성북구","장위초등학교 운동장","서울특별시 성북구 장위동 68-8","3462.0","127.05","37.6116","1","지진실내구호소","02-915-4325"
"123","서울특별시","성북구","의릉 주차장","서울특별시 성북구 석관동 333-1","1171.0","127.0585","37.6048","1","지진실내구호소","02-964-0579"
"124","서울특별시","성북구","석계초등학교 운동장","서울특별시 성북구 석관동 27-3","2890.0","127.0696","37.608","1","지진실내구호소","02-964-9579"
"125","서울특별시","성북구","석관고등학교 운동장","서울특별시 성북구 석관동 77-1","6064.0","127.0666","37.6089","1","지진실내구호소","070-5066-3110"
"126","서울특별시","성북구","석관중학교 운동장","서울특별시 성북구 석관동 88-2","4760.0","127.0665","37.6076","1","지진실내구호소","02-958-1166"
"127","서울특별시","성북구","석관초등학교 운동장","서울특별시 성북구 석관동 205-0","2434.0","127.0589","37.6107","1","지진실내구호소","02-959-1391"
"128","서울특별시","강북구","고갯마루공원","서울특별시 강북구 미아동 811-13","2185.0","127.0169","37.6164","1","지진실내구호소","02-901-5903"
"129","서울특별시","강북구","구세군길 마을마당","서울특별시 강북구 미아동 791-1343","524.0","127.0147","37.6267","1","지진실내구호소","02-901-5903"
"130","서울특별시","강북구","늘푸른공원","서울특별시 강북구 미아동 797-9","646.0","127.0196","37.6254","1","지진실내구호소","02-901-5903"
"131","서울특별시","강북구","벽오산어린이공원","서울특별시 강북구 미아동 258-56","1250.0","127.0302","37.6276","1","지진실내구호소","02-901-5903"
"132","서울특별시","강북구","세일어린이공원","서울특별시 강북구 미아동 162-1","849.0","127.0252","37.6335","1","지진실내구호소","02-901-5903"
"133","서울특별시","강북구","솔샘어린이공원","서울특별시 강북구 솔샘로65길 19(미아동)","1264.1","127.027","37.6181","1","지진실내구호소","02-901-5903"
"134","서울특별시","강북구","송월어린이공원","서울특별시 강북구 미아동 89-6","807.0","127.0321","37.6161","1","지진실내구호소","02-901-5903"
"135","서울특별시","강북구","오패어린이공원","서울특별시 강북구 미아동 258-236","993.0","127.0323","37.6223","1","지진실내구호소","02-901-5903"
