Review,Topic_ID
따릉이 서울자전거 등을 갖추고 있어서 다양하고 다목적인 체육과 문화와 교육의 공원이라고 생각합니다^^ 저도 매일 산책과 운동을 하는 곳입니다^^ 사진은 다음에 추가 할게요^^ 고척근린공원은 지역 주민들에게 필요한 요건을 두루 갖추고 있어요^^ 첫째 넓은 공원 산책로 다섯째 체육센터 주차장,1
걷기 좋은 장소 가까운 곳에 시장도 있고 카페도 있다,3
공원이 넓고 농구를 할수있고 옆산으로 등산도 할수있고 앉아서 쉴만한곳이 있고 활용성 있는 공원이다,1
자유로운 공간 삶의 여유를 즐기는 행복한 장소,3
"조용하고 산책하기 좋음 지하주차장 있고, 축구장, 농구장, 도서관, 독서실, 광장, 테니스장, 놀이터, 벤치, 수영장, 헬스장 다 있음 조깅트랙 있어서 산책 최적 산책로 걸어가다 보면 산과 연결되어 있음",1
어린이날 행사로 첨 가봤는데 놀이터도 있고 도서관도 있고 괜찮은거 같아요,2
집 뒷문으로 나가면 근린공원 입니다 운동하기좋고 그안에 고척도서관과 체육시설까지 모여있어 어제든지 이용하기 좋은 공원입니다,1
도서관에 수영장등 시설도 같이 있고 산책하기도 좋아요 서울에선 잘 조성해놓은 공원이에요,1
집 가까이 있는 공원이라 늘 운동과 산책을 그리고 사계절을 언제나 보아도 잘 관리 되어지고 있으며 이용하는 즐거움이 큽니다,1
자전거를 타면 전기를 만드는 시설도 있고 좋음,0
한 눈에 다 보이는 놀이터라서 안전하고 흙놀이하기도 좋네요,2
모두에게 좋겠지만 특히 나같은 나이든이에게 산책하기가 아주 잘되어 있다고 생각했습니다 매우 쾌적하고 상큼한 주변환경에 휴식시설도 잘되어 있었습니다,-1
고척도서관도 깨끗 좋구요 운동시설두 잘되어있어요~테니스장,2
조깅코스가 있는 공원이에요 놀이터 리모델링해서 집라인도 있고 아주 좋아요 배드민턴 코트 3면 놀이터,-1
"넓은 공간과 다양한 편의시설, 도서관, 체육센터 등이 함께있어 인근 지역 주민들에게는 너무도 좋은 장소입니다",1
아주 넓은 공원이에요 도서관도 있고 놀이터도 있고 광장도 있어요 그리고 비행기 날아가는 모습을 아주 가까이서 볼수 있어요,1
공원도 적당한 크기,0
운동하기 너무 좋은 곳이예요 사람도 댕댕이도,3
"고척도서관과 함께 축구장, 테니스장, 농구장, 무대, 놀이터, 산책로, 공용주차장, 구민체육센터가 함께 있어 두루 즐길 수 있어 좋은 공원",1
공원 인근의 많은 사람들이 즐기며 휴식할수있는 서울에서 두번째로 규모가 크고 아름다운 공원입니다,1
공원도 크고 도서관도 있고 운종장에 구민 체육센터까지 고루 겸비되어 있어서 아주 좋아요,1
"말그대로 공원이 작고 아담한데, 비둘기가 장난 아니게 많다 ㅡㅡ;; 그래서 주로 맞은면 큰 공원으로 많이 다닌다",-1
공원이 조용하고 상쾌하게 조성되어 시각적으로 즐거운 시간 되었습니다 아쉬운건 분위기가 있는 경음악이 있으면 좋겠네요,-1
"유료주차장과 주말엔 대로변 주정차 가능한거 같음 도심공원치고 꽤 넓은 부지에 운동장, 도서관등이 있음",1
놀이 기구도 특이하고 정말 재미있답니다~^^특히 짚라인이 젤 좋았어요,2
어릴때부터 가서 친숙해요~ 작고 아담해요^^ 산책로 경사가 좀 힘들긴한데 운동이다생각하면 괜찮아요,2
"도심속 공원 등산로와 연결되어 좋아요 농구장, 체육시설 등등 고척동 좋아요",-1
특히 구청감독이 매우친절하게 설명해줘서 좋았습니다,0
걷기좋아요 산책코스가 완전 평지가 아니라 약간 경사도 있어 걷는운동하기좋아요,3
넓고 좋은데 근처에 사는사람 아니면 교통편이 많이 불편해요,2
자주는 안가는 곳 이지만 일상을 탈피해 잠시 머물면서 운동삼아 산책하기 좋은곳,3
금연공원인데 담배 피우는 어르신들 종종보이는데 뭐라 할수도 없구,2
도서관도 좋고~모래 놀이터도 아이들이 너무 좋아해요^^,1
좋고 연을 날리기 좋고 근데 좀 않좋은게 제 조카가 모래 알러지가 있는데 놀이터가 모래로 되어있어서 좀 그러네요,2
어린이가 많고 가족들이 와서 편하게 쉬는 공원이라서 좋습니다,-1
놀이터도 있고 공원도 잘 만들어짐 그리고 조금만 걸어가면 고척근린시장도 있어서 좋음 시장에 닭강정 밋있음,2
^^ 고척 근린 공원많이 사랑햐 주세요~,0
산책코스하고 마무리 코스입니다 운동장에 강쥐들 모여요,2
"지하주차장, 산책구간과 운동장 놀이터 체육시설 그리고 도서관 꾀 괜찮은 조합입니다",1
유산소운동하기에는 짱입니다 걷기운동좋아하시는분들에게 강추합니다,3
야산이라 나이먹은 노인들이 등산하기는 좋으나 검은 풀모기가 많아 않아서 쉬기는 아주 불편하니 양천구청에서 자주 연막소독을 해주길 바래요ㆍ,-1
밤이 잘 어울리는 공원^^,-1
주말마다 천막치고 행사나 공연해서 가족끼리 가기 좋을듯 싶습니다,2
나무가 많고 산책로가 잘 만들어져 있어 구로구에서 제일 좋은 공원입니다,1
"인근 고척,개봉동 주민의 휴식및 운동의 장소로 많은 주민이 애용 하는 장소임, 공원 주위를 1주하는 길이800m의 보행로는 많은 주민이 애용함",1
동네공원치고 정말좋아요 운동하거나 놀기좋고 도서관도있어서 더 꿀,-1
도심속에서 자연과 넓은 장소를 경험 할수 있는 훌륭한 공원입니다,1
5~6살 정도 아이랑 가는걸 추천합니다 올라가는데 4살 이하어린이는 어렵더라구요,2
쉴만한 공간도 많고 예쁜 사진 찍을곳도 많아요 좋음 웃,2
"가족들과, 연인과, 동료 들이 함께 어울리며 운동도 할 수 있고, 책도 볼수 있는 곳 입니다",1
간단하게 운동도 하고 사람도 만날 수 있는 아름다운 공원입니다,1
좋아요 테니스장 베드민턴 농구장 체육센터 서울시 도서관 있어요,0
도심속에공원은정말훌륭합니다 아름답고상케하고 아이들과어르신들이함께어울어지는 훌륭한공원임니다,1
공원다운 공원이에요 도서관도 있고 문화회관도 있어서 좋습니다,1
다양한 운동시설과 광장,3
농구하러 갔다가 단풍이 들어 가을을 감상했습니다,-1
아침은 살살하지만 정말 공기좋고 배드민턴 치고왔지만 매우 만족해요,0
애들 놀수있는 놀이터도 있고 산책도 가능하며 도서관이 있어서 좋네요,1
공원 널고 커서 주변 둘례길도 있고 애들 산책하기에 너무좋아요,2
깨끗하고 조용하고 운동시설 갖추어져 있어서 좋아요,0
한적하고 사람들도많고 그늘진장소도만아서 좋은데 농구장벤치에 개미가너무많음,2
좋음 840m 우레탄트랙 축구장 및 각종 시설,0
도서관과 놀이시설이 있어 동네 주민들이 많이 가는 곳,1
게이트볼장과 근린시설이 함께하는곳 도서관과 산책로가 함께있음,-1
너무잘해났는데우리손주들와서밤에짚라인태웠는데 재미있다고다음에또오자고하네요 그런데염려스러운게큰아이들이있어서걱정은되네요,2
도서관과 공원과 운동시설이 함께있어 좋아요,0
언제나 산책 혹은 운동하러 자주 가는 곳입니다~,3
풍경이 너무 좋은곳이라 마음도 푸근해진다 이런 좋은 곳을 몰랐다니,2
운동하기 좋고 경사도 크게 없고 공원 둘레 걸어다니기 좋,2
밤에 걷기운동하기 좋아요 사람도 많구요,0
아이와 책도 보고 산책도하고 시간보내기 좋아요,-1
도서관이 옆에 있는 산책하기 좋은 공원입니다,-1
도서관 및 체육시설이 같이 있어 좋아요,0
어른들과 산책하기 좋내여 살짝 아쉬운 점이있다면 공연 앞쪽이 바닥이 블럭으로 되어있어 어린이들이 너무어질때 아플거 같내여,2
보통 공원임 도서관 옆에 있다는 점은 좋아요,0
코스도 좋고 운동하기 딱이에요,0
깨끗한 공원으로 휴식을 즐길 수있는 곳입니다,-1
지하 주차장 생겨좋아요 구로구민의 건강을 책임지는곳^^,-1
아이들 놀기에도 좋고,0
어린이 노인 들 놀기 좋은 곳 입니다,3
운동할수있고 도심속 공원이라 좋습니다,0
조경이 잘된 시민의 운동및 휴식공간임 특히 가을의 단풍이 일품임,1
넓고 놀이터도 훌륭하고 산책길도 좋아요,-1
집옆에 작지도 크지도 않는 적당한공원이라 좋습니다,0
요즘 날씨에 저녁먹고 산책나가기 너무좋아요,0
주차장 완비 도서관 있구 그냥 어린이를 위한 놀이터,2
좋아요 운동 산책 도서관 체육센터 다있당,0
운동하기좋구요 800미터트랙은달리기도 가능해요,-1
산책하고 운동하고 데이트도할수도있고 좋긴한데 곳곳에 어두운곳이많음,2
5월의 계절과 딱 맞는 가족 나들이의 제격의 장소이네요,0
아이들과 놀러나가기 좋은곳이네요,0
산과 공원이 있어 산책하기 좋아요~,0
역사와 전통을 자랑하는 근린공원,-1
산책로와 도서관이 잘 되어 있어요,-1
민턴장도있고 트랙이 예쁘게잘깔려있어용ㅋㅋ,0
구로구고척동소재 고척근린공원 운동장 봄 가을 구로족구연합회 주최 족구대회가 열린다,-1
엄청 넓은게 아니라서 아늑한 느낌이 들어서 더 좋았어요,0
"운동, 산책할 수 있는 좋은 장소임",3
"운동,산책,가족과운동 나들이 하기 좋아요^^",2
공기 좋고 운동하기 딱 좋은 최적의 장소,3
도서관이 생각보다 좋습니다,-1
저녁 산책또는 조깅하기에 좋은곳이랍니다,0
힐링하기 딱 좋은곳^^ 사람들에게 숨통을 트여주는곳,0
좋다 도서관도 있고 운동도 할수 있다,-1
공원이 뭐 별게있나,0
무료 동네공원으로 운동과 휴식이 가능하다,0
경치도 좋고 탁 트인 게 너무 좋았습니다,0
반려동물과 함께하는 시간이 너무좋아요,0
깨끗하고 가벼운 산책과 운동하기 좋은 곳,3
강아지와 편하게 운동할 수 있는 곳,3
공원 내에 고척도서관도 있음 적당한 크기의 공원,-1
대공원 길건너편에 있는 아이들이 놀기 좋은곳,-1
가벼운 운동하기 좋은 곳,3
2021-03-24 널찍한 공원입니다,0
강아지를 데리고 산책 시키기 좋아요,0
산책이나 가벼운 운동하기좋은곳,3
지역주민을 위한 좋은 시설입니다,3
근처에 예쁜카페가려다가 들린 공원,-1
가족 집 앞 잠깐 나들이 하기에 좋아요,0
산책로 및 수목도 좋은 공원,1
구로에서 가장 큰 공원 ~ 고척도서관이 있음,-1
먹거리도 팔았음 더좋겠네요^^,0
동네에 약간 큰 공원이긴 하지만 즐길거리 부족과 어르신이 너무 많음,2
산책 및 간단한 운동을 즐기기 좋음,3
절은사람들이 친절하고 좋네요 화이팅,0
지하 주차장 화장실 고장 불편해요 고치질 안아요,2
"운동하기에, 간단히 걷기에,",3
야외농구 하러 갔던 장소 코트가 약간 경사지고 아스팔트 코트입니다,0
오래된 공원이지만 관리가 잘되어있습니다,-1
"넓은 광장, 넓은 운동장, 고척도서관까지 모두 무료",1
역시 저녁에 걸으니까 선선하니 좋네요,0
고척근린공원옆에 붙은 작은 공원인데 그냥 쏘쏘함,-1
좋아요 비행기가 날아다녀요 화장실 깨끗하진않아도 갈만해요 반려견 동반 환경 좋네요,0
놀거리도 풍부하고 야산이 완전 좋음,-1
놀이터 예뻐져서 한번가면 나오기 쉽지않아요,2
어린이들이 뛰놀고있고 운동기구가있다,3
산책겸 운동하기 좋아요~,0
다양한 시설과 데크,-1
공원에 있을만한거 다 있음,0
운동하기에 좋은장소 입니다,3
가벼운 둘래길로 잘조성 돼어있음,0
산책과 운동이 편하고 다양하다,3
밤에 운동 하기에 너무 좋다,0
"항공소음만 없다면 좋은 공원이 될듯,,",1
서울에 이정도 공원 좋음 입니마,-1
크기는 작아도 있을 건 다 있다,0
깨끗하게 잘 되어있는 것 같습니다,0
비행기 소리가 나긴 하지만 괜찮습니다,0
편안하고 부담없은 가족 공원,3
8살 아들이 좋아해요,0
도서관 수영장 산책로 다있는곳,0
넓고 운동할수 있습니다,-1
강쥐 친구들 신나게 놀수 있는 공원,-1
좋음 우리동네 마실 장소,0
산책 운동하기 좋은곳,3
운동하기 좋고 쾌적함,3
이 만한 공원도 드물듯,0
가족 나들이로 너무 좋은곳,0
깨끗하다 즐겁다 고척근린공원,-1
공원 주차장도 있음,0
운동하기 좋은 장소,3
구로동 최고의 산책로~,0
집근처에 있는 공원,-1
아침마다 운동가는 공원,1
"도서관, 쉼터, 놀이터 힐링장소",1
걷기 좋으나 사람 많음,0
은근히 크고 놀거리가 조금 있습니다,0
오랜만에 가봤는데 더 좋아진듯,0
좋아좋아 행복)(하트),-1
그냥 동네 소소한 공원,0
구로에ㅜ공원 다운 공원,0
구로구 고척동 주민들은 좋겠어요 바로 숲세권이 옆어 있어서요,2
이 공원은 90년대부터 제 고향에 좋은 곳이었습니다 이 공원은 마을의 커뮤니티 센터입니다,1
"마을의 공원에서 가벼운 운동도 할 수 있는 설비, 운동장이나 도서관 등 완벽한 공원입니다",1
"서울 도심에 있는 꽤 넓은 공원으로 놀이터, 수영장, 도서관, 광장 등이 있습니다",1
이곳은 잘 관리되고 안전하며 다양한 편의 시설을 갖춘 환상적인 공원입니다,1
지역 주민들이 산책하기 좋은 곳,3
좋은 N 깨끗한 장소,0
